Lockdown Time,Lockup Time,cost,status£¨0 for unstable£¬1 for stable£©
2019/6/6 8:42,2019/6/6 18:00,10,0
2019/6/6 8:52,2019/6/6 19:38,10,0
2019/6/6 8:53,2019/6/6 13:35,5,0
2019/6/6 8:58,2019/6/6 9:00,0,0
2019/6/6 9:01,2019/6/6 14:22,0,0
2019/6/6 9:04,2019/6/6 18:02,10,0
2019/6/6 9:04,2019/6/6 9:05,0,0
2019/6/6 9:14,2019/6/6 18:53,10,0
2019/6/6 9:20,2019/6/6 17:44,10,0
2019/6/6 9:23,2019/6/6 18:01,10,0
2019/6/6 9:27,2019/6/6 10:29,5,0
2019/6/6 9:28,2019/6/6 18:01,10,0
2019/6/6 9:50,2019/6/6 17:55,10,0
2019/6/6 10:52,2019/6/6 18:56,10,0
2019/6/6 11:00,2019/6/6 18:17,0,0
2019/6/6 11:26,2019/6/6 12:23,0,0
2019/6/6 11:26,2019/6/6 13:07,5,0
2019/6/6 11:34,2019/6/6 12:32,0,0
2019/6/6 12:11,2019/6/6 12:11,0,0
2019/6/6 12:12,2019/6/6 13:08,0,0
2019/6/6 12:13,2019/6/6 12:27,0,0
2019/6/6 12:31,2019/6/6 12:32,0,0
2019/6/6 12:41,2019/6/6 12:44,0,0
2019/6/6 12:57,2019/6/6 17:05,5,0
2019/6/6 13:44,2019/6/6 15:34,5,0
2019/6/6 13:47,2019/6/6 14:35,0,0
2019/6/9 12:08,2019/6/9 15:17,5,0
2019/6/9 15:19,2019/6/9 19:07,5,0
2019/6/10 8:12,2019/6/10 8:25,0,0
2019/6/10 8:40,2019/6/10 18:13,10,0
2019/6/10 8:46,2019/6/10 17:35,10,0
2019/6/10 8:50,2019/6/10 9:44,0,0
2019/6/10 8:51,2019/6/10 17:42,10,0
2019/6/10 8:55,2019/6/10 13:13,0,0
2019/6/10 9:04,2019/6/10 13:47,5,0
2019/6/10 9:07,2019/6/10 12:50,5,0
2019/6/10 9:08,2019/6/10 18:39,10,0
2019/6/10 9:10,2019/6/10 10:59,5,0
2019/6/10 9:11,2019/6/10 18:40,10,0
2019/6/10 9:12,2019/6/10 18:00,10,0
2019/6/10 9:16,2019/6/10 18:17,10,0
2019/6/10 9:19,2019/6/10 18:04,10,0
2019/6/10 9:21,2019/6/10 17:39,10,0
2019/6/10 9:28,2019/6/10 17:53,10,0
2019/6/10 9:53,2019/6/10 14:36,5,0
2019/6/10 10:04,2019/6/10 11:24,5,0
2019/6/10 10:06,2019/6/10 10:07,0,0
2019/6/10 11:56,2019/6/10 17:40,10,0
2019/6/10 13:38,2019/6/10 15:02,0,0
2019/6/10 13:50,2019/6/10 17:50,5,0
2019/6/10 14:15,2019/6/10 18:37,5,0
2019/6/10 15:43,2019/6/10 15:44,0,0
2019/6/10 18:51,2019/6/10 18:52,0,0
2019/6/11 8:18,2019/6/11 12:05,5,0
2019/6/11 8:35,2019/6/11 16:29,10,0
2019/6/11 8:46,2019/6/11 12:36,5,0
2019/6/11 8:53,2019/6/11 18:30,10,0
2019/6/11 9:00,2019/6/11 17:58,10,0
2019/6/11 9:04,2019/6/11 17:40,10,0
2019/6/11 9:06,2019/6/11 17:29,10,0
2019/6/11 9:14,2019/6/11 18:59,10,0
2019/6/11 9:22,2019/6/11 17:49,10,0
2019/6/11 9:39,2019/6/11 17:53,10,0
2019/6/11 10:13,2019/6/11 14:00,5,0
2019/6/11 10:13,2019/6/11 19:19,0,0
2019/6/11 10:22,2019/6/11 11:05,0,0
2019/6/11 13:55,2019/6/11 18:25,5,0
2019/6/11 14:47,2019/6/11 14:59,0,0
2019/6/11 17:13,2019/6/11 17:15,0,0
2019/6/12 9:06,2019/6/12 18:02,10,0
2019/6/12 9:21,2019/6/12 17:35,10,0
2019/6/12 9:33,2019/6/12 11:11,5,0
2019/6/12 10:00,2019/6/12 12:26,5,0
2019/6/12 10:34,2019/6/12 13:19,5,0
2019/6/12 11:00,2019/6/12 11:42,0,0
2019/6/12 11:45,2019/6/12 14:15,5,0
2019/6/12 12:06,2019/6/12 18:38,0,0
2019/6/12 13:42,2019/6/12 18:04,5,0
2019/6/12 13:57,2019/6/12 22:01,10,0
2019/6/13 8:45,2019/6/13 18:08,10,0
2019/6/13 8:52,2019/6/13 19:02,10,0
2019/6/13 8:54,2019/6/13 18:12,10,0
2019/6/13 9:03,2019/6/13 18:33,10,0
2019/6/13 9:06,2019/6/13 16:23,10,0
2019/6/13 9:08,2019/6/13 13:03,5,0
2019/6/13 9:10,2019/6/13 9:22,0,0
2019/6/13 9:14,2019/6/13 11:46,5,0
2019/6/13 9:15,2019/6/13 18:43,10,0
2019/6/13 9:17,2019/6/13 18:25,10,0
2019/6/13 9:23,2019/6/13 18:16,10,0
2019/6/13 9:26,2019/6/13 17:52,10,0
2019/6/13 9:44,2019/6/13 12:33,5,0
2019/6/13 9:52,2019/6/13 17:54,10,0
2019/6/13 9:55,2019/6/13 12:13,5,0
2019/6/13 9:56,2019/6/13 13:18,5,0
2019/6/13 10:12,2019/6/13 17:36,10,0
2019/6/13 11:09,2019/6/13 17:13,10,0
2019/6/13 11:18,2019/6/13 12:18,0,0
2019/6/13 11:49,2019/6/13 17:49,10,0
2019/6/13 12:55,2019/6/13 15:26,5,0
2019/6/13 13:01,2019/6/13 17:42,0,0
2019/6/13 13:06,2019/6/13 18:17,0,0
2019/6/13 13:31,2019/6/13 15:14,5,0
2019/6/13 14:15,2019/6/13 14:38,0,0
2019/6/13 15:10,2019/6/13 17:25,5,0
2019/6/13 15:10,2019/6/13 17:42,5,0
2019/6/13 17:06,2019/6/13 18:27,5,0
2019/6/13 18:08,2019/6/13 19:04,0,0
2019/6/14 8:28,2019/6/14 18:03,10,0
2019/6/14 8:37,2019/6/14 18:05,10,0
2019/6/14 8:39,2019/6/14 8:49,0,0
2019/6/14 8:40,2019/6/14 17:23,10,0
2019/6/14 8:41,2019/6/14 17:53,10,0
2019/6/14 8:42,2019/6/14 13:37,5,0
2019/6/14 8:44,2019/6/14 11:31,5,0
2019/6/14 8:45,2019/6/14 18:15,10,0
2019/6/14 8:47,2019/6/14 16:18,10,0
2019/6/14 8:48,2019/6/14 17:46,10,0
2019/6/14 8:49,2019/6/14 13:08,5,0
2019/6/14 8:52,2019/6/14 17:43,10,0
2019/6/14 8:52,2019/6/14 17:04,10,0
2019/6/14 8:54,2019/6/14 18:04,10,0
2019/6/14 8:55,2019/6/14 18:37,10,0
2019/6/14 8:58,2019/6/14 13:37,5,0
2019/6/14 8:59,2019/6/14 13:55,5,0
2019/6/14 9:04,2019/6/14 18:48,10,0
2019/6/14 9:07,2019/6/14 17:56,10,0
2019/6/14 9:08,2019/6/14 18:07,10,0
2019/6/14 9:08,2019/6/14 9:45,0,0
2019/6/14 9:13,2019/6/14 16:00,10,0
2019/6/14 9:14,2019/6/14 10:06,0,0
2019/6/14 9:15,2019/6/14 9:59,0,0
2019/6/14 9:28,2019/6/14 11:47,5,0
2019/6/14 9:34,2019/6/14 15:09,10,0
2019/6/14 10:07,2019/6/14 16:28,10,0
2019/6/14 10:22,2019/6/14 11:51,5,0
2019/6/14 10:22,2019/6/14 10:28,0,0
